,forward_RE,forward_FC,UP,DW,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
8943,28.44,31.008824599046523,28.44,24.7,0.7107843137254902,0.8055263497190894,0.1910966340933767,0.8756476683937824,0.337037037037037,0.5111747851002866
8944,28.88,7.149446156497852,28.88,25.7,0.9215686274509804,1.0,0.1715526601520086,0.8402417962003454,0.3024691358024691,0.4722063037249284
8945,39.07,40.47700181247946,39.07,39.07,0.8578431372549019,0.7920369724518915,0.1530944625407166,0.7867012089810017,0.2777777777777778,0.4498567335243553
8946,46.71,46.157891968777975,46.71,24.38,0.7892156862745098,1.0,0.1433224755700325,0.7167530224525043,0.2518518518518518,0.4243553008595988
8947,36.12,34.54257761786997,36.12,24.38,0.6225490196078431,0.5091723929404101,0.1346362649294245,0.6502590673575129,0.2419753086419753,0.3962750716332378
8948,29.03,39.72145938752425,29.03,24.38,0.6078431372549019,0.5598513141585787,0.1194353963083604,0.5803108808290155,0.2320987654320987,0.3750716332378223
8949,29.75,32.544001216840165,29.75,24.4,0.4362745098039216,0.3183248922049508,0.1042345276872964,0.5138169257340242,0.2259259259259259,0.3601719197707736
8950,29.88,36.37959575235096,29.88,29.88,0.3382352941176471,0.4611040032645565,0.0912052117263843,0.464594127806563,0.2074074074074074,0.336676217765043
8951,27.93,40.09040485718464,27.93,27.93,0.2696078431372549,0.3624356488741555,0.0760043431053203,0.429188255613126,0.1962962962962963,0.308595988538682
8952,25.21,24.20056732867015,28.4,25.21,0.2107843137254902,0.2856210776780541,0.0456026058631921,0.3333333333333333,0.1876543209876543,0.2939828080229226
8953,25.34,26.123866395630664,28.4,25.34,0.1568627450980392,0.3920212221353972,0.0336590662323561,0.3169257340241796,0.1777777777777777,0.2277936962750716
8954,27.74,26.27951705053121,27.74,27.74,0.1274509803921568,0.0,0.019543973941368,0.234887737478411,0.1493827160493827,0.1816618911174785
8955,32.11,30.385408242219206,32.11,32.11,0.0588235294117647,0.5097463839698106,0.008686210640608,0.2590673575129533,0.1037037037037037,0.1395415472779369
8956,29.0,26.932515970742006,29.0,29.0,0.0147058823529411,0.0,0.003257328990228,0.192573402417962,0.0555555555555555,0.1232091690544412
8957,28.1,25.9227071503172,28.1,28.1,0.0294117647058823,0.1378480480428617,0.00542888165038,0.1640759930915371,0.0395061728395061,0.1197707736389684
8958,36.17,28.787193485492708,36.17,36.17,0.0294117647058823,0.13782046769584,0.017372421281216,0.0949913644214162,0.0419753086419753,0.0951289398280802
8959,46.5,45.09907461042301,46.5,46.5,0.088235294117647,0.0,0.0249728555917481,0.1001727115716753,0.0679012345679012,0.097134670487106
8960,47.85,48.56644189457794,72.03,47.85,0.142156862745098,0.1126223548846402,0.0358306188925081,0.2357512953367875,0.0888888888888888,0.119484240687679
8961,45.68,44.92682209756213,45.68,45.68,0.3088235294117647,0.2397907932306657,0.0662323561346362,0.4473229706390328,0.1222222222222222,0.1446991404011461
8962,43.61,46.17042652038149,43.61,43.61,0.4509803921568627,0.0,0.1031487513572204,0.5863557858376511,0.182716049382716,0.1753581661891117
8963,40.0,32.414373194161534,40.0,25.0,0.5049019607843137,0.5413170674304463,0.1368078175895765,0.7253886010362695,0.2691358024691358,0.2455587392550143
8964,36.17,28.831018722708198,36.17,24.0,0.8431372549019608,0.9618530147528812,0.1769815418023887,0.8013816925734024,0.3358024691358025,0.3372492836676218
8965,32.64,32.907634006236314,32.64,23.9,0.9607843137254902,1.0,0.2052117263843648,0.8773747841105354,0.3987654320987654,0.4065902578796561
8966,31.43,38.86813511645559,31.43,23.9,0.9558823529411764,0.8512563564056935,0.2128121606948968,0.9283246977547496,0.4530864197530864,0.457593123209169
8967,31.1,14.306493497305896,31.1,31.1,0.9558823529411764,0.888813845752665,0.2149837133550488,0.9447322970639032,0.4740740740740741,0.5025787965616045
8968,32.59,31.903724683791317,32.59,32.59,0.9558823529411764,0.8760766996286242,0.2138979370249728,0.9438687392055268,0.4777777777777778,0.5108882521489971
8969,42.85,36.7821332134461,42.85,42.85,0.9705882352941176,0.8410152137753933,0.2106406080347448,0.92573402417962,0.4703703703703704,0.4916905444126074
8970,40.72,68.57509514327774,40.72,40.72,0.9852941176470588,0.8873553868180004,0.2052117263843648,0.8894645941278065,0.4518518518518518,0.4512893982808023
8971,28.33,25.16297948303306,28.33,24.4,0.9803921568627452,0.9621729720695752,0.2030401737242128,0.8540587219343696,0.4209876543209876,0.4060171919770773
8972,27.64,34.510180180769844,27.64,23.5,0.9509803921568628,0.8824387247199669,0.1997828447339848,0.812607944732297,0.3765432098765432,0.3684813753581661
8973,27.55,25.937456622206767,27.55,23.5,0.9754901960784312,0.8427372777031992,0.1889250814332247,0.7530224525043178,0.3160493827160494,0.3332378223495702
8974,26.9,23.59635528073012,26.9,23.5,0.9705882352941176,0.7268123537699331,0.1672095548317046,0.6709844559585493,0.254320987654321,0.2796561604584527
8975,26.41,28.384438347549757,26.41,23.0,0.8578431372549019,0.9702245653971732,0.1411509229098805,0.5664939550949913,0.2,0.2068767908309455
8976,26.07,47.88874105442095,26.07,23.0,0.4607843137254901,0.2798332787889748,0.1281216069489685,0.5328151986183074,0.2271604938271605,0.1753581661891117
8977,26.01,25.6020955696378,26.01,23.0,0.2205882352941176,0.3203426484811819,0.0944625407166123,0.4818652849740932,0.1691358024691358,0.1475644699140401
8978,25.81,29.48067052920605,25.81,23.0,0.446078431372549,0.3073126899334288,0.0803474484256243,0.4671848013816925,0.1493827160493827,0.1320916905444126
8979,25.89,16.989628006898982,25.89,23.0,0.4705882352941176,0.430544188496166,0.0998914223669924,0.310880829015544,0.1209876543209876,0.1492836676217765
8980,26.2,26.381520370175103,26.2,26.2,0.5441176470588235,0.5299129916074445,0.1194353963083604,0.2392055267702936,0.0777777777777777,0.1530085959885387
8981,26.95,29.780723954184506,26.95,23.5,0.4166666666666667,0.454932034055156,0.1357220412595005,0.1951640759930915,0.0518518518518518,0.2008595988538682
8982,28.95,26.21148807721562,28.95,23.5,0.8480392156862745,1.0,0.1205211726384364,0.4248704663212435,0.0469135802469135,0.2461318051575931
8983,43.29,65.17038309398781,43.29,43.29,0.196078431372549,0.2139318038178697,0.1487513572204126,0.6027633851468048,0.0419753086419753,0.3008595988538682
8984,47.4,53.0780326343436,47.4,47.4,0.0,0.0,0.1530944625407166,0.6787564766839378,0.0567901234567901,0.3312320916905444
8985,40.63,135.12317171656113,93.67,40.63,0.0784313725490196,0.0,0.1530944625407166,0.7202072538860104,0.0777777777777777,0.3570200573065902
8986,36.26,40.24022424142316,107.05,36.26,0.1813725490196078,0.0669106219362045,0.1552660152008686,0.7512953367875648,0.082716049382716,0.3538681948424069
8987,32.05,29.533987378287996,291.72,32.05,0.6176470588235294,0.673190886006852,0.1487513572204126,0.7901554404145078,0.1,0.3593123209169054
8988,28.64,27.27467617677284,291.72,28.64,0.8774509803921569,0.8877574353895877,0.1433224755700325,0.844559585492228,0.1246913580246913,0.3902578796561604
8989,28.45,27.024657056114325,80.06,28.45,0.9215686274509804,0.9257801312051834,0.1422366992399565,0.9041450777202072,0.1567901234567901,0.4326647564469914
8990,28.23,29.856574318513257,28.23,28.23,0.6323529411764706,0.5785985533068475,0.1368078175895765,0.9343696027633852,0.2222222222222222,0.4770773638968481
8991,28.85,37.47080607168812,28.85,28.85,0.4656862745098039,0.4244639879503265,0.1237785016286645,0.9110535405872192,0.3432098765432099,0.5229226361031518
8992,35.55,38.732265695338,35.55,35.55,0.4607843137254901,0.8784457028798853,0.1226927252985884,0.8471502590673575,0.4432098765432098,0.4919770773638968
8993,43.92,48.17679683146744,43.92,43.92,0.8137254901960784,0.8269747138252384,0.1389793702497285,0.7495682210708118,0.519753086419753,0.3905444126074499
8994,45.61,43.47833989821786,45.61,45.61,0.9068627450980392,0.8384434713771947,0.1552660152008686,0.6286701208981001,0.5641975308641975,0.2845272206303725
8995,30.01,32.02317947070343,34.0,30.01,0.7205882352941176,0.6350416227741594,0.1672095548317046,0.4810017271157167,0.5691358024691358,0.2042979942693409
8996,27.6,32.49690852030709,34.0,27.6,0.6078431372549019,0.6862069197450424,0.1769815418023887,0.3229706390328152,0.5580246913580247,0.1481375358166189
8997,35.58,32.43178869414691,35.58,35.58,0.6225490196078431,0.5533890400156452,0.1813246471226927,0.194300518134715,0.5345679012345679,0.1045845272206303
8998,36.34,25.93801431025777,36.34,36.34,0.803921568627451,0.7201201706834315,0.1715526601520086,0.1208981001727115,0.4888888888888889,0.0753581661891117
8999,26.07,18.60663697367998,28.7,26.07,0.7352941176470589,0.5859475357512707,0.1509229098805646,0.0932642487046632,0.3876543209876543,0.0584527220630372
9000,35.01,38.338838470425,35.01,35.01,0.5980392156862745,0.5509453182446984,0.1248642779587405,0.0889464594127806,0.1888888888888888,0.030945558739255
9001,34.0,30.4838727051361,34.0,34.0,0.5441176470588235,0.4945203954666096,0.0998914223669924,0.1899827288428324,0.1395061728395061,0.0524355300859598
9002,26.15,26.594057669247007,29.4,26.15,0.553921568627451,0.3880657176716658,0.0716612377850162,0.3272884283246977,0.0975308641975308,0.1289398280802292
9003,25.75,17.282829503847147,27.1,25.75,0.5098039215686274,0.55275158243603,0.0651465798045602,0.4585492227979275,0.0876543209876543,0.2383954154727793
9004,25.41,22.86743414572993,27.0,25.41,0.3333333333333333,0.3713717780650335,0.0542888165038002,0.6381692573402418,0.0790123456790123,0.353295128939828
9005,25.32,28.78389733310314,25.32,22.0,0.284313725490196,0.3228690521208818,0.0532030401737242,0.7780656303972366,0.1024691358024691,0.4332378223495702
9006,25.46,18.950769750989057,25.46,22.0,0.2009803921568627,0.0,0.0542888165038002,0.8203799654576857,0.0987654320987654,0.4899713467048711
9007,25.41,26.438808459410414,25.41,22.0,0.0931372549019607,0.0956353321544902,0.0456026058631921,0.886873920552677,0.0975308641975308,0.5553008595988539
9008,25.67,9.045698509483287,25.67,24.4,0.2205882352941176,0.2718775278179723,0.0499457111834962,0.9620034542314336,0.1790123456790123,0.6386819484240688
9009,25.93,26.142665999327903,25.93,22.0,0.3725490196078431,0.2343550011337797,0.0836047774158523,0.9706390328151986,0.3086419753086419,0.7237822349570201
9010,25.85,30.47221885002161,28.0,25.85,0.5392156862745098,0.3992968886709507,0.1313789359391965,0.9706390328151986,0.419753086419753,0.7469914040114614
9011,25.54,33.804961573120444,28.0,25.54,0.803921568627451,0.8195687198101329,0.1682953311617806,0.9654576856649396,0.5259259259259259,0.7719197707736389
9012,25.19,30.31274906786984,27.0,25.19,0.9019607843137256,0.8709690726181778,0.1921824104234527,0.9568221070811744,0.6148148148148148,0.7865329512893983
9013,25.01,-1.4517639146794077,25.01,25.01,0.946078431372549,0.9333768586118888,0.2062975027144408,0.9585492227979274,0.6691358024691358,0.7911174785100287
9014,24.87,38.06932362414548,24.87,24.87,0.965686274509804,0.8538337586701725,0.2106406080347448,0.9671848013816926,0.6962962962962963,0.788538681948424
9015,25.17,-98.20234034008357,25.17,22.5,0.9803921568627452,0.9943681907720116,0.2128121606948968,0.9723661485319516,0.725925925925926,0.8045845272206303
9016,25.55,26.894638522301182,25.55,25.55,0.9852941176470588,1.0,0.2160694896851248,0.9723661485319516,0.7481481481481481,0.811461318051576
